ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B09S6HFTT7,FORB Portable Garden Golf Net 7ft x 7ft – Durable Pop-Up Net for Home Practice – Versatile for Multiple Ball Sports – Easy Assembly with Carry Bag,FORB,Sports & Outdoors,MAYBE,7.7,GBP47.99,GBP7.39,3.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FQK4M4VR,"Carlton Nanomax Pro Ti Badminton Set, 2 Player Set with Rackets, Carry Cover & Shuttles",Carlton,Sports & Outdoors,BRAND APPROACH,7.6,GBP29.99,GBP4.35,3.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B079C4T4VH,FEDERER ADULT W/O CVR TNS RKT 3,Wilson,Sports & Outdoors,MAYBE-ROI,6.8,GBP31.20,GBP4.50,4.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B08DD9XK1G,THIODOON 2 Pack Golf Flag Golf Holes and Flags for Garden Indoor Yard Putting Green Golf Hole Cup and Flag for Putting Practice Upgrade Anti-Rust Glass Fiber 5-Section Design with Connectors,THIODOON,Sports & Outdoors,MAYBE,8.0,GBP29.99,GBP3.26,9.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09QF8XJ9H,"Titleist Players Terry Golf Towel, White/Black",Titleist,Sports & Outdoors,MAYBE,7.4,GBP26.00,GBP2.90,8.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0B31KRZYZ,"Titleist Players Flex Golf Glove, Men's, Left Hand (Right Hand Golfer), Large",Titleist,Sports & Outdoors,MAYBE-ROI,6.9,GBP22.00,GBP1.88,11.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B089KKLJF6,Fdit Tennis Ball Box Tennis Ball Pressurizer Can Pressure Maintaining Repairing Storage Can Container Sports Accessories,Fdit,Sports & Outdoors,MAYBE,7.8,GBP20.81,GBP2.70,4.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DX2MSNDM,"Wilson Slam Jr 21 Tennis Racket, Provides Lightweight Strength and Effortless Control, Kid-Friendly Dimensions, Ready For High-Performance Play, Colour: Blue, Size: 21",Wilson,Sports & Outdoors,MAYBE-ROI,6.8,GBP26.00,GBP3.71,3.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B000BT7E8Q,Masters Rain Wedge Bag Cover - Black,ProActive Sports,Sports & Outdoors,BRAND APPROACH,7.1,GBP24.75,GBP3.40,4.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CHW9BBN3,2 Player Portable Junior Badminton Set,Sweatband.com,Sports & Outdoors,MAYBE,7.4,GBP34.99,GBP4.95,5.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
