ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0C5WZXZNY,"EDUMAN Break Open 10 Premium Geodes with Crystals - STEM Educational Geology Science Kit, Real Crystal Geodes Kits for Toys Gifts Kids Boys & Girls",EDUMAN,https://www.amazon.co.uk/dp/B0C5WZXZNY,Toys & Games,,20.69,21.41,3.0%,22314,18145,63,50,2,0,N,3.05,3.94,6.99,13.45,0.25,1.9%,11.42,20.44,0%,eduman (100%) / A18VKSCOV6NUB4,yes,4.1,388,9,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,
B0DTB2N2D9,"Crayola Marker Airbrush Spray Art Kit, Battery-Powered Sprayer with 8 Washable Markers & 5 Stencils, DIY Craft Set for Kids, Gift for Boys & Girls, Ages 6+",CRAYOLA,https://www.amazon.co.uk/dp/B0DTB2N2D9,Toys & Games,,25.87,29.90,13.0%,22523,46354,62,50,7,0,N,3.26,4.75,8.01,16.82,1.05,6.2%,14.89,24.82,0%,Pennguin UK (96%) / A83YDD25VWEVW,no,4.8,842,11,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,0071662076696,071662076696,
B01N9JXHCV,Ravensburger World Globe on a V-Stand 3D Jigsaw Puzzle for Adults and Kids Age 10 Years Up - 550 Pieces - No Glue Required,Ravensburger,https://www.amazon.co.uk/dp/B01N9JXHCV,Toys & Games,,24.89,23.66,-5.0%,22631,13542,87,50,14,0,Y,3.26,4.59,7.85,16.18,0.86,5.3%,14.20,24.03,87%,Mad-4-Toys Ltd (85%) / A2F06GBNBBVT5Q,no,4.7,4526,9,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,4005556124367,,"04005556111183, 04005556124367"
B07PP3WWCF,Theo Klein 5392 Princess Coralie Make up and hairstyling head Emma,Theo Klein,https://www.amazon.co.uk/dp/B07PP3WWCF,Toys & Games,,24.99,25.21,1.0%,23487,20074,71,50,5,0,Y,3.54,4.61,8.15,16.24,0.60,3.7%,14.03,24.39,100%,Amazon,yes,4.4,953,8,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,4009847053923,,04009847053923
B000F8XF86,"Learning Resources The Original Three Bear Family Basic Six Colour Rainbow Counter Set (Set of 96) Compare Bears Maths Counters, Classroom Maths Supplies to Compare Size, Blue,green,orange,purple,red",Learning Resources,https://www.amazon.co.uk/dp/B000F8XF86,Toys & Games,,22.85,22.59,-1.0%,25030,25677,40,100,5,0,Y,3.06,4.28,7.34,14.85,0.66,4.4%,12.93,22.19,22%,Home Essence Ltd (91%) / A3EOEZWEPXN9YI,no,4.6,2162,15,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,"0765023006100, 0809098974213, 0858160437125, 0885289013619, 0885406855412, 4150002615200, 5711008973764, 7426924910936","765023006100, 809098974213, 858160437125, 885289013619, 885406855412",00765023006100
B08VG519HT,"Science Mad - 50mm Astronomical Telescope For Kids - Learn Astronomy and the Universe With Fun - Features Portable, 50mm Lens, Tripod and Mount, 18x and 90x Magnification, 6+ Years",Science Mad,https://www.amazon.co.uk/dp/B08VG519HT,Toys & Games,,34.00,29.86,-14.0%,25424,33217,62,50,3,0,Y,3.48,3.21,6.69,22.10,5.21,23.6%,22.76,28.79,96%,Amazon,yes,3.8,118,7,Y,5,STRONG,N,-,AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,5060062145410,,05060062145410
B0D8Y3L5FK,"ESAKO Telescope for Kids & Adults, 70mm Portable Beginner Telescopes with 3 Eyepieces, Height Adjustable Tripod & Phone Adapter",ESAKO,https://www.amazon.co.uk/dp/B0D8Y3L5FK,Toys & Games,,64.99,60.73,-7.0%,25535,10812,27,100,2,0,N,3.49,10.78,14.27,42.24,8.48,20.1%,42.27,56.51,0%,JOOJO STORE (100%) / AIRQMQP5A7JES,yes,4.2,539,6,Y,5,STRONG,N,-,,LOW SELLER CHECK,KEEPA,,,
B0BXB6Z94M,"Learning Resources Hot Dots Numberblocks 1–10 Activity Book & Interactive Pen, Ages 4+, Numberblocks Gifts, 75+ Maths Activities, Gifts For Kids",Educational Insights,https://www.amazon.co.uk/dp/B0BXB6Z94M,Toys & Games,,26.97,28.06,4.0%,25964,40176,59,50,13,0,Y,2.94,4.92,7.86,17.53,1.58,9.0%,15.93,25.39,58%,®UK Royal Brands ✅ (99%) / AR3YQZD3G0SVW,yes,4.4,626,9,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0086002025500,086002025500,00086002025500
B0CTNVMZVF,"Learning Resources Design & Drill Robot Workshop, Ages 3+, Take Apart Robot Toy, Preschool STEM Building Kit, Develops Fine Motor Skills, Gifts For Kids",Educational Insights,https://www.amazon.co.uk/dp/B0CTNVMZVF,Toys & Games,,29.99,28.57,-5.0%,26094,22040,75,50,8,0,Y,3.05,5.38,8.43,19.49,2.06,10.6%,17.96,27.93,49%,VOYTO UK (95%) / APVB5IVDJXT38,no,4.8,424,8,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0086002041777,086002041777,00086002041777
B0D7J67MGG,The Peckish Pirates • 1000-Piece Jigsaw Puzzle from The Magic Puzzle Company • Series Four,Magic Puzzle Company,https://www.amazon.co.uk/dp/B0D7J67MGG,Toys & Games,,33.97,31.93,-6.0%,26658,28734,43,50,2,0,Y,3.26,6.00,9.26,22.08,2.63,11.9%,20.59,31.34,100%,Amazon,yes,4.8,538,5,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,0850016196279,850016196279,
