SKU,"Product Name",Brand,"New In","HS Code",Barcode,Origin,Availability,Price,URL
SCS23091,"Shoo Addict Allure (Ladies 100ml EDP) Laurelle (6268)","Laurelle Parfums",No,"HS 3303.0010","EAN 5060186266268",China,"in stock",4.95,https://store.shure-cosmetics.co.uk/shoo-addict-allure-ladies-100ml-edp-laurelle-6268
SCS23093,"Shoo Addict Chic (Ladies 100ml EDP) Laurelle (6275)","Laurelle Parfums",No,"HS 3303.0010","EAN 5060186266275",China,"in stock",4.95,https://store.shure-cosmetics.co.uk/shoo-addict-chic-ladies-100ml-edp-laurelle-6275
SCS23092,"Shoo Addict Envy (Ladies 100ml EDP) Laurelle (6282)","Laurelle Parfums",No,"HS 3303.0010","EAN 5060186266282",China,"in stock",4.95,https://store.shure-cosmetics.co.uk/shoo-addict-envy-ladies-100ml-edp-laurelle-6282
SCS61293,"Shooting Stars (Unisex 100ml EDP) Grandeur Elite (9145)",Grandeur,No,"HS 33030090","EAN 5055810099145",U.A.E,"in stock",15.95,https://store.shure-cosmetics.co.uk/shooting-stars-unisex-100ml-edp-grandeur-elite-9145
SCS23960,"Show Me Love Limited Edition (Ladies 50ml EDP) Escada (2421)",Escada,No,"HS 3301.9030","EAN 3616303452421",France,"in stock",12.5,https://store.shure-cosmetics.co.uk/show-me-love-limited-edition-ladies-50ml-edp-escada-if
SCS47527,"Shu Hadha (100ml EDP) Nabeel (6939) C/47",Nabeel,No,"HS 3303.0010",,"United Arab Emirates","in stock",10.95,https://store.shure-cosmetics.co.uk/shu-hadha-100ml-edp-nabeel-6939-scs47527
SCS44965,"Si Belle (Ladies 100ml EDT) Alta Moda (8442) UNBOXED","Alta Moda",No,"HS 3303.0010",,"United Arab Emirates","out of stock",3.25,https://store.shure-cosmetics.co.uk/si-belle-ladies-100ml-edt-alta-moda-8442
SCS47304,"Si Femme Chic (Ladies 100ml EDP) Real Time (FRRT058) (9245)","Real Time",No,"HS 33030010","EAN 8715658009245",Netherlands,"in stock",2.25,https://store.shure-cosmetics.co.uk/si-femme-chic-ladies-100ml-edp-real-time-frrt058-9245-qc
SCS20509,"Sicily Rose Oud (Ladies 35ml EDT) Lilyz (9178) (CZ9723-97)",Lilyz,No,"HS 3303.0010","EAN 5060616909178",China,"in stock",0.95,https://store.shure-cosmetics.co.uk/sicily-rose-oud-ladies-35ml-edt-lilyz-9178-cz9723-97
SCS45786,"Signature London (Men's 2 Piece EDT Gift Set) Creative Colours (CCL039)","Creative Colours Ltd",No,"HS 3303.0010",,China,"out of stock",3.5,https://store.shure-cosmetics.co.uk/signature-london-men-s-2-piece-edt-gift-set-creative-hs
SCS42829,"Silence (Ladies 100ml EDP) New Brand (6479)","New Brand",No,"HS 3303.0010",,France,"in stock",3.95,https://store.shure-cosmetics.co.uk/silence-ladies-100ml-edp-new-brand-6479-nb-22
SCS24564,"Silky Velour (Mens 100ml EDT) Lamis Deluxe (UNBOXED) L/19a",Lamis,No,"HS 3303.0010",,"United Arab Emirates","in stock",2.5,https://store.shure-cosmetics.co.uk/silky-velour-mens-100ml-edt-lamis-deluxe-unboxed-l-uz
SCS24563,"Silky Velouret (Ladies 100ml EDP) Lamis Deluxe (UNBOXED) L/19",Lamis,No,"HS 3303.0010",,"United Arab Emirates","in stock",2.5,https://store.shure-cosmetics.co.uk/silky-velouret-ladies-100ml-edp-lamis-deluxe-unboxed-ka
SCS35344,"Silver 999 (Mens 100ml EDT) Saffron (2353) SF/14",Saffron,No,"HS 3303.0010","EAN 5055339902353",Ireland,"in stock",2.65,https://store.shure-cosmetics.co.uk/silver-999-mens-100ml-edt-saffron-2353-sf-14
SCS19845,"Silver Abyss (Mens 100ml EDT) Fine Perfumery (2074) (FP6207) F/5","Fine Perfumery",No,"HS 3303.0010","EAN 5055170262074",China,"in stock",1.6,https://store.shure-cosmetics.co.uk/silver-abyss-mens-100ml-edt-fine-perfumery-2074-nx
SCS22561,"Silver Frame For Women (Ladies 35ml EDT) Lilyz (5644) (CZ9723-118)",Lilyz,No,"HS 3303.0010","EAN 5060616905644",China,"in stock",0.95,https://store.shure-cosmetics.co.uk/silver-frame-for-women-ladies-35ml-edt-lilyz-5644-ns
SCS21746,"Silver Night (Mens 100ml EDP) Fine Perfumery (FP9108) (1081) E/11","Fine Perfumery",No,"HS 3303.0010","EAN 5055170291081","United Kingdom","in stock",2.25,https://store.shure-cosmetics.co.uk/silver-night-mens-100ml-edp-fine-perfumery-fp9108-vm
SCS22738,"Silver Night (Mens 4pcs 100ml Gift Set) Fine Perfumery (2118) (FP9211)","Fine Perfumery",No,"HS 3303.0090","EAN 5055170292118","United Kingdom","in stock",5.5,https://store.shure-cosmetics.co.uk/silver-night-mens-4pcs-100ml-gift-set-fine-perfumery-ul
SCS24296,"Silver Spirit (Mens 100ml EDP) Fine Perfumery (1128) (FP9112) F/4a","Fine Perfumery",No,"HS 3303.0010","EAN 5055170291128","United Kingdom","in stock",2.25,https://store.shure-cosmetics.co.uk/silver-spirit-mens-100ml-edp-fine-perfumery-1128-iw
SCS46683,"Silver & White Woman (Ladies 100ml EDT) Omerta (FROM038) (8426) A/15",Omerta,No,"HS 3303.0010",,Netherlands,"in stock",3.25,https://store.shure-cosmetics.co.uk/silver-white-woman-ladies-100ml-edt-omerta-from038-mp
SCS61785,"Simple 10% Vitamins C+E+F Booster Serum - 30ml (7110)",Simple,No,"HS 33049900","EAN 8720181157110",Hungary,"in stock",3.95,https://store.shure-cosmetics.co.uk/simple-10-vitamins-cef-booster-serum---30ml-7110
SCS61783,"Simple 3% Hyaluronic Acid & Vitamin B5 Booster Serum - 30ml (7127)",Simple,No,"HS 33049900","EAN 8720181157127",Hungary,"in stock",3.95,https://store.shure-cosmetics.co.uk/simple-3-hyaluronic-acid-vitamin-b5-booster-serum---30ml-6pcs-395each-1509
SCS202341,"Simple Calming Moisturiser - 50ml (6pcs) (?1.38/each) (4913), Dove.A/28",Simple,No,"HS 3304.9990","EAN 8717163934913",Hungary,"out of stock",8.25,https://store.shure-cosmetics.co.uk/simple-calming-moisturiser-50ml-6pcs-ps1-38-each-4913-tc
SCS61521,"Simple Daily Skin Detox Purifying Face Gel Wash - 150ml (6pcs) (£2.25/each) (8145)",Simple,No,"HS 33049900",,Poland,"in stock",13.5,https://store.shure-cosmetics.co.uk/simple-daily-detox-purifying-facial-wash-150ml-6pcs-ps2-71-each-8145
SCS20746,"Simple Daily Skin Detox Clear Pore Scrub - 150ml (6pcs) (£2.54/each) (8169), Dove.A/27",Simple,No,"HS 3304.9900","EAN 8710447474426",Poland,"out of stock",15.25,https://store.shure-cosmetics.co.uk/simple-daily-skin-detox-clear-pore-scrub-150ml-6pcs-ul
SCS24349,"Simple Kids Hair & Body Wash - 225ml (6pcs) (£0.83/each)",Simple,No,"HS 3307.3090","EAN 8720181368974",Poland,"in stock",5,https://store.shure-cosmetics.co.uk/simple-kids-hair-body-wash-225ml-6pcs-ps0-83-each-rx
SCS20370,"Simple Kind Defence +Anti-Bac Hydrating Mist - 125ml (6pcs) (£1.88/each) (2353) Dove.B/29",Simple,No,"HS 3401.3011","EAN 8720181113666",EU,"in stock",11.25,https://store.shure-cosmetics.co.uk/simple-kind-defence-anti-bac-hydrating-mist-125ml-ek
SCS19026,"Simple Kind To Skin Eye Make-Up Remover - 125ml (6pcs) (£2.25/each) (7698), Dove.B/31",Simple,No,"HS 3304.2000","EAN 5011451103917",Poland,"in stock",13.5,https://store.shure-cosmetics.co.uk/simple-kind-to-skin-eye-make-up-remover-125ml-6pcs-tx
SCS20928,"Simple Kind To Skin Hydrating Light Moisturiser - 125ml (6pcs) (£2.66/each) (7711) Dove.B/32",Simple,No,"HS 3304.9900","EAN 5011451103931",Hungary,"in stock",15.95,https://store.shure-cosmetics.co.uk/simple-kind-to-skin-hydrating-light-moisturiser-125ml-tf
SCS61782,"Simple Kind to Skin Micellar Water - 400ml (6pcs) (£2.25/each) (1493)",Simple,No,"HS 33049900",,Poland,"in stock",13.5,https://store.shure-cosmetics.co.uk/simple-kind-to-skin-micellar-water---400ml-6pcs-225each-1509
SCS20747,"Simple Kind To Skin Refreshing Facial Wash Gel - 150ml (6pcs) (£2.71/each) (8046), Dove.A/26",Simple,No,"HS 3401.3000","EAN 5011451103863",Poland,"out of stock",16.25,https://store.shure-cosmetics.co.uk/simple-kind-to-skin-refreshing-facial-wash-gel-150ml-wi
SCS20929,"Simple Kind to Skin Replenishing Rich Moisturiser - 125ml (6pcs) (£2.40/each) (7728) Dove.B/30",Simple,No,"HS 3304.9900","EAN 5011451103948",Poland,"in stock",14.4,https://store.shure-cosmetics.co.uk/simple-kind-to-skin-replenishing-rich-moisturiser-jt
SCS19027,"Simple Kind To Skin Soothing Facial Toner - 200ml (6pcs) (£2.63/each) (7636), Dove.A/24",Simple,No,"HS 3304.9900","EAN 5011451103856",Poland,"in stock",15.75,https://store.shure-cosmetics.co.uk/simple-kind-to-skin-soothing-facial-toner-200ml-6pcs-he
SCS24194,"Simple Regeneration Age Resisting Cleansing Facial Wipes - 25 Wipes (6pcs) (£1.62/each) (PC4204) - Dove.B/31a",Simple,No,"HS 3304.9900","EAN 5011451104204","United Kingdom","out of stock",9.75,https://store.shure-cosmetics.co.uk/simple-regeneration-age-resisting-cleansing-facial-td
SCS61522,"Simple Regeneration Age Resisting Facial Wash - 150ml (6pcs) (£2.25/each) (8121)",Simple,No,"HS 33049900",,Poland,"in stock",13.5,https://store.shure-cosmetics.co.uk/simple-regeneration-age-resisting-facial-wash---150ml-6pcs-225each-8121
SCS61784,"Simple 10% Vitamin B3 Niacinamide Booster Serum - 30ml (7134)",Simple,No,"HS 33049900","EAN 8720181157134",Hungary,"in stock",3.95,https://store.shure-cosmetics.co.uk/simple-vitamin-b3-niacinamide-booster-serum---30ml-7134
SCS20234,"Simple Water Boost Hydrating Eye Gel - 25ml (8pcs) (£1.95/each) (7886), Dove.A/29",Simple,No,"HS 3304.9900","EAN 8720180000000",Hungary,"in stock",15.6,https://store.shure-cosmetics.co.uk/simple-water-boost-hydrating-eye-gel-25ml-8pcs-ps1-95-vu
SCS61524,"Simple Water Boost Hydrating Micellar Water - 400ml (6pcs) (£2.25/each) (1558)",Simple,No,"HS 33049900",,Poland,"in stock",13.5,https://store.shure-cosmetics.co.uk/simple-water-boost-hydrating-micellar-water---400ml-6pcs-225each-1558
SCS61523,"Simple Water Boost Micellar Gel Wash - 150ml (6pcs) (£2.25/each) (8022)",Simple,No,"HS 33049900",,Poland,"in stock",13.5,https://store.shure-cosmetics.co.uk/simple-water-boost-micellar-gel-wash---150ml-6pcs-225each-8022
SCS10799,"Simply Cotton Wool Pleat - 100g (0464)",Simply,No,"HS 3304.9900","EAN 5028270000464","United Kingdom","in stock",0.95,https://store.shure-cosmetics.co.uk/simply-cotton-wool-pleat-100g-0464
SCS61804,"Skin 1004 Madagascar Centella Light Cleansing Oil - 200ml (0481)","SKIN 1004",No,"HS 33049900","EAN 8809913830481",Korea,"in stock",9.45,https://store.shure-cosmetics.co.uk/skin-1004-madagascar-centella-light-cleansing-oil---200ml-0481
SCS21761,"Skin Academy 3 In 1 Micellar Water - 200ml (0963) (20963-100) FF.C/10m","Skin Academy",No,"HS 3304.9900","EAN 5031413920963","United Kingdom","in stock",1.6,https://store.shure-cosmetics.co.uk/skin-academy-3-in-1-micellar-water-200ml-0963-20963-hl
SCS21763,"Skin Academy Argan Oil Gel Eye Patches - 4 Treatments (2197) (12197-100) FF.C/10d","Skin Academy",No,"HS 3304.9900","EAN 5031413912197",China,"out of stock",0.95,https://store.shure-cosmetics.co.uk/skin-academy-argan-oil-gel-eye-patches-4-treatments-db
