supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Shure Cosmetics,SCS18987,5060194131787,Airpure 8 Hour Unscented Tea Lights - 8pk (1787),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61172,5060194131152,Airpure All Purpose Disinfectant - 500ml (Options) - Atlamtis Bay (1152),UNIT,UNIT,1,0.7,0.84,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61172,5060194131169,Airpure All Purpose Disinfectant - 500ml (Options) - Oh My Goddess (1169),UNIT,UNIT,1,0.7,0.84,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61172,5060194131138,Airpure All Purpose Disinfectant - 500ml (Options) - Pink Grapefruit (1138),UNIT,UNIT,1,0.7,0.84,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS55475,5060194137598,Airpure Apple Cinnamon 2in1 Reed Diffuser - 30ml (7598),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS19143,5060194130322,Airpure Apple Cinnamon 8 Air Freshening Wax Melts - 86g (0322/Op-33),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22327,5060194130629,Airpure Apple Cinnamon Air Freshener Refill Tin - 250ml (0629),UNIT,UNIT,1,0.85,1.02,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS16152,5060194134511,Airpure Apple Cinnamon Scented Large Jar Candle - 510g (4511),UNIT,UNIT,1,3.35,4.02,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS16548,5060194130414,Airpure Atlantis Bay Air Freshener Refill Tin - 250ml (0414),UNIT,UNIT,1,0.85,1.02,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS17991,5060194132876,Airpure Atlantis Bay Airpure & Fresh Trigger Air Freshener Spray - 250ml (2876),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS17994,5060194133743,Airpure Atlantis Bay Antibacterial All In One Disinfectant Spray - 450ml (3743),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22676,5060194131305,Airpure Atlantis Bay Mighty Mousse Bathroom & Toilet Cleaner - 500ml (1305),UNIT,UNIT,1,1.1,1.32,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS15578,5060194135082,Airpure Automatic Air Freshener Machine (5082),UNIT,UNIT,1,2.6,3.12,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61913,5061092120651,Airpure Automatic Air Freshener with Remote Boost Machine (0651),UNIT,UNIT,1,3.25,3.9,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61501,5060194134061,"Airpure Baby, It's Cold Outside 8 Air Freshening Wax Melts - 86g (4061)",UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22334,5060194130124,Airpure Bin Fairy Orange Burst Odour Eliminator Bin Freshener - 500g (0124),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS23564,5060194133019,Airpure Blush Peony Scented Large Jar Candle - 510g (3019),UNIT,UNIT,1,3.35,4.02,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61554,,Airpure Ceramic Grey Collection Wax Melter (Options) - White,UNIT,UNIT,1,0.85,1.02,,,REJECT,Invalid or missing EAN,
Shure Cosmetics,SCS61554,,Airpure Ceramic Grey Collection Wax Melter (Options) - Light Grey,UNIT,UNIT,1,0.85,1.02,,,REJECT,Invalid or missing EAN,
