ASIN,Locale,Image,Title,Bought in past month,Buy Box: Current,Amazon: Current,Buy Box: 90 days avg.,Buy Box: 90 days drop %,New Offer Count: Current,Sales Rank: 90 days avg.,Sales Rank: 90 days drop %,Sales Rank: Drops last 90 days,Sales Rank: Reference,Sales Rank: Display Group,Sales Rank: Subcategory Sales Ranks,Sales Rank: Current,90 days change % monthly sold,Return Rate,Reviews: Rating,Reviews: Rating Count,Reviews: Rating Count - 90 days drop %,Reviews: Review Count - Format Specific,Last Price Change,Buy Box: Stock,Buy Box: 90 days OOS,Buy Box: Buy Box Seller,Buy Box: Shipping Country,Buy Box: Strikethrough Price,Buy Box: % Amazon 90 days,Buy Box: % Top Seller 90 days,Buy Box: Winner Count 90 days,Buy Box: Standard Deviation 90 days,Buy Box: Flipability 90 days,Buy Box: Is FBA,Buy Box: Unqualified,Buy Box: Prime Eligible,Buy Box: Subscribe & Save,Amazon: 90 days avg.,Amazon: 90 days drop %,Amazon: Stock,Amazon: 90 days OOS,New: Current,New: 90 days avg.,New: 90 days drop %,New: 90 days OOS,"New, 3rd Party FBA: Current","New, 3rd Party FBA: 90 days avg.","New, 3rd Party FBA: 90 days drop %","New, 3rd Party FBA: Stock",FBA Pick&Pack Fee,Referral Fee %,Referral Fee based on current Buy Box price,"New, 3rd Party FBM: Current","New, 3rd Party FBM: 90 days avg.","New, 3rd Party FBM: 90 days drop %","New, 3rd Party FBM: Stock","New, Prime exclusive: Current","New, Prime exclusive: 90 days avg.","New, Prime exclusive: 90 days drop %",Lightning Deals: Current,Buy Box Used: Current,Buy Box Used: 90 days avg.,Buy Box Used: 90 days drop %,Buy Box Used: Buy Box Used Seller,Buy Box Used: Is FBA,Buy Box Used: Condition,Used: Current,Used: 90 days avg.,Used: 90 days drop %,Used: 90 days OOS,"Used, like new: Current","Used, like new: 90 days avg.","Used, like new: 90 days drop %","Used, very good: Current","Used, very good: 90 days avg.","Used, very good: 90 days drop %","Used, good: Current","Used, good: 90 days avg.","Used, good: 90 days drop %","Used, acceptable: Current","Used, acceptable: 90 days avg.","Used, acceptable: 90 days drop %",Warehouse Deals: Current,Warehouse Deals: 90 days avg.,Warehouse Deals: 90 days drop %,List Price: Current,List Price: 90 days avg.,List Price: 90 days drop %,eBay New: Current,eBay New: 90 days avg.,eBay New: 90 days drop %,eBay Used: Current,eBay Used: 90 days avg.,eBay Used: 90 days drop %,Total Offer Count,New Offer Count: 90 days avg.,Used Offer Count: Current,Used Offer Count: 90 days avg.,Tracking since,Listed since,URL: URL slug,Categories: Root,Categories: Sub,Categories: Tree,Website Display Group: Name,Product Codes: UPC,Product Codes: EAN,Product Codes: GTIN,Product Codes: PartNumber,Parent ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Brand Store Name,Brand Store URL Name,Model,Variation Attributes,Color,Size,Unit Details: Unit Value,Unit Details: Unit Type,Scent,Item Form,Pattern,Style,Material,Item Type,Target Audience,Recommended Uses,Specific Uses,Product Benefit,Edition,Format,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Release Date,Languages,Videos: Video Count,Videos: Has Main Video,Videos: Main Videos,Videos: Additional Videos,A+ Content: Has A+ Content,Package: Dimension (cm³),Package: Weight (g),Package: Quantity,Item: Dimension (cm³),Item: Weight (g),Included Components,Ingredients,Active Ingredients,Special Ingredients,Safety Warning,Batteries Required,Batteries Included,Hazardous Materials,Is HazMat,Is heat sensitive,Adult Product,Is Merch on Demand,Trade-In Eligible,Deals: Deal Type,Deals: Badge,One Time Coupon: Absolute,One Time Coupon: Percentage,One Time Coupon: Subscribe & Save %,Business Discount: Percentage,Pre-filter Flags
B0F52R7Q9Z,co.uk,https://m.media-amazon.com/images/I/81M39qHKCOL.jpg;https://m.media-amazon.com/images/I/71WWUXT1OAL.jpg;https://m.media-amazon.com/images/I/71ZkzvQRTVL.jpg;https://m.media-amazon.com/images/I/81GmcaJeqRL.jpg;https://m.media-amazon.com/images/I/71rRRhSxqAL.jpg;https://m.media-amazon.com/images/I/81fRwMAbFNL.jpg;https://m.media-amazon.com/images/I/71scc4avR3L.jpg;https://m.media-amazon.com/images/I/71GW2xvrAQL.jpg,"pecute Cat Carrier Stable, Pet Carriers Breathable and Portable, Cat Carriers Bag with Scientific Hidden Partition, Carriers for Cat Under 5kg, Dog Carrier Suitable for Travel and Outing, Dark Grey",50,29.99,39.99,27.44,-9 %,2,4530,0 %,111,Pet Supplies,pet_products_display_on_website,# 3 | Top 0.01% | Cat Carriers,4538,0 %,,4.6,471,,79,2026/03/17 01:32,183,8 %,Hometownclouds (100%) / A1YHP35JBV6WN7,,-,0 %,93 %,1,2.77,78,yes,no,yes,no,39.99,0 %,4,82 %,29.99,27.07,-11 %,6 %,,27.37,,183,3.15,15.01 %,4.50,,63.83,,,,,,,,,,,no,,20.59,19.18,-7 %,44 %,,,,,19.82,,,,,,,,,19.78,,39.99,39.99,0 %,,,,,,,3,2,1,1,2025/05/21,2025/04/15,pecute-Carriers-Breathable-Scientific-Partition,Pet Supplies,Carriers,Pet Supplies › Cats › Carriers & Travel Products › Carriers,Pet Products,,,,CSC--PCB11,B0FBWK58JT,"B0CM65M1Y3,B001MZV3OO",ANIMAL_CARRIER,pecute,pecute,pecute,pecute,CSC--PCB11,Color: Dark Grey Standard;,Dark Grey Standard,Medium,1,count,,,,Classic,Nylon mesh,,Cats,Traveling,"Cat carrier,Dog carrier,Pet carrier",,,,,,,,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/71Tl6zrtiNL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/805af78f-d5d1-48a6-971c-5476d10180e2/default.vertical.jobtemplate.hls.m3u8""}]",,yes,6945,1390,1,33712,1360,/,,,,,no,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK; LOW SELLER CHECK
B08FYVRBSL,co.uk,https://m.media-amazon.com/images/I/71mN79bv3qL.jpg,FLUVAL 307/407 Media Value Pack,100,51.23,51.29,50.51,-1 %,11,4810,0 %,141,Pet Supplies,pet_products_display_on_website,# 28 | Top 0.06% | Aquarium Filter Accessories,4831,-45 %,,4.7,678,-2 %,32,2026/03/19 16:42,6,1 %,aquacadabra (93%) / A1PH60OYR84OEQ,GB,-,46 %,54 %,2,0.81,5,no,no,yes,yes,50.77,-1 %,1000,0 %,50.80,50.27,-1 %,0 %,50.80,50.90,0 %,6,3.49,15 %,7.68,50.80,50.51,-1 %,1083,,,,,,,,,no,,,38.06,,97 %,,38.06,,,,,,,,,,,,38.05,,99.99,99.99,0 %,,,,,,,11,11,,1,2020/11/09,2020/10/27,Fluval-Pack-Loads-Months-1250,Pet Supplies,Filter Accessories,Pet Supplies › Fish & Aquatic Pets › Aquarium Accessories › Pumps & Filters › Filter Accessories,Pet Products,015561114622,0015561114622,,A1462,B08PCGLNWL,"B08FYSKW1F,B07Q3S6QVD",BABY_CARRIER,Rolf C Hagen UK Ltd,Fluval,Fluval,Fluval,A1462,Style: 307/407;,306/307 - 406/407,30 Count (Pack of 1),1,count,,,,307/407,Plastic,,,,,,,,,,,1,,,2020-11-23,Spanish,0,no,,,yes,11533,1650,1,9568,1250,,,,,,no,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK
B0DT99LF5Z,co.uk,https://m.media-amazon.com/images/I/81iWL1rbOkL.jpg;https://m.media-amazon.com/images/I/81UEjG+Hm0L.jpg;https://m.media-amazon.com/images/I/81ImQDTd+KL.jpg;https://m.media-amazon.com/images/I/81bY8jLHj0L.jpg;https://m.media-amazon.com/images/I/81AXj1dGiwL.jpg;https://m.media-amazon.com/images/I/81r0zEfGCEL.jpg;https://m.media-amazon.com/images/I/91zw6ZwV+HL.jpg,"BeBeJoJo 2 Pack Guinea Pig Cage Liner,Washable Guinea Pig Bedding,Reusable Guinea Pig Mat,Waterproof Super Absorbent Guinea Pig Mat,Brown,120x60CM",50,22.48,,22.09,-2 %,2,3595,-34 %,124,Pet Supplies,pet_products_display_on_website,# 29 | Top 0.07% | Bedding & Substrate for Small Animals,4835,-2 %,,4.3,170,-16 %,9,2026/03/09 05:52,10,2 %,BeBeJoJo (100%) / A3JI0NDGM1BTKY,,-,0 %,57 %,4,1.91,71,yes,no,yes,no,,,,100 %,22.48,20.25,-11 %,0 %,22.48,22.71,1 %,10,3.17,14.99 %,3.37,,20.76,,,,,,,,,,,no,,,17.07,,91 %,,17.20,,,,,,,,,,,,17.19,,59.00,59.00,0 %,,,,,,,2,3,,1,2025/03/22,2025/01/17,BeBeJoJo-Washable-Reusable-Waterproof-Absorbant,Pet Supplies,Bedding & Substrate,Pet Supplies › Small Animals › Habitats & Bedding › Bedding & Substrate,Pet Products,,,,MUPS003105-UK,B0DT9KW5M2,"B0DT9M44SF,B073F9GPMK",PET_SUPPLIES,BeBeJoJo,BeBeJoJo,,,MUDG447549-UK,Size: 120x60 cm; Color: Brown;,Brown,120x60 cm,2,count,,,,,Polyester,,,,,,,,,,,2,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/51ouSeFyjcL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/5ec51bc9-a7e5-48cf-84e4-325d68a86d6d/default.jobtemplate.hls.m3u8""}]",,yes,7263,900,1,,,,,,,,no,no,,no,no,no,no,no,,,-,,,,LOW SELLER CHECK
B07QP6X9FQ,co.uk,https://m.media-amazon.com/images/I/6191vOk3llL.jpg;https://m.media-amazon.com/images/I/71PWdHV1LnL.jpg;https://m.media-amazon.com/images/I/71+5K5yS3SL.jpg;https://m.media-amazon.com/images/I/71CryzP0oTL.jpg;https://m.media-amazon.com/images/I/71vQVbbh42L.jpg;https://m.media-amazon.com/images/I/71JN3M0Bx0L.jpg;https://m.media-amazon.com/images/I/815Kib3qXTL.jpg;https://m.media-amazon.com/images/I/81v-mh9LWIL.jpg,"Large Dog Mobility Aids Support Sling For Back Legs, Dog Lifting Harness to Lift Pets Hind Front Rear for Canine and Old K9 Cruciate Ligament Rehabilitation",50,20.99,,19.62,-7 %,2,3234,-52 %,111,Pet Supplies,pet_products_display_on_website,# 75 | Top 0.14% | Hip & Joint Care for Dogs,4918,43 %,,4.6,1333,7 %,188,2026/03/19 08:48,455,0 %,PICK FOR LIFE (100%) / AGUQYO9F5D4MD,,-,0 %,90 %,2,1.63,74,yes,no,yes,no,,,,100 %,20.99,19.96,-5 %,0 %,20.99,19.08,-10 %,456,2.97,15.01 %,3.15,,,,,,18.89,,,,,,,no,,13.07,14.12,7 %,0 %,13.07,14.73,11 %,,14.35,,,,,,,,13.07,14.14,33 %,20.99,20.99,0 %,,,,,,,3,2,1,2,2019/04/27,2019/04/12,Mobility-Support-Cruciate-Ligament-Rehabilitation,Pet Supplies,"Hip & Joint Care, Pet Health Supplies",Pet Supplies › Dogs › Health Supplies › Hip & Joint Care,Pet Products,631924468241,0631924468241,,Gagaciso,B0BVZ9NTDV,,ANIMAL_HARNESS,BRO,BRO,BRO,MakeLifeBetter,,PatternName: Soft Fleece; Size: For Large Dog;,Black,For Large Dog,1,count,,,Soft Fleece,"Adjustable,Heavy Duty,Portable,Sturdy",Nylon,,dog lift harness,,,,,,,,,,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/61kT3-Ej6KL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/085354ab-729f-41c5-bfc0-c1777b72d15d/default.jobtemplate.hls.m3u8""}]",,yes,2414,370,1,,350,,,,,,no,no,,no,no,no,no,no,,,-,,,,LOW SELLER CHECK
B0002ZFOS6,co.uk,https://m.media-amazon.com/images/I/61CS3tfPEeL.jpg;https://m.media-amazon.com/images/I/61zDuE4YmQL.jpg;https://m.media-amazon.com/images/I/71M8Cq3mHdL.jpg;https://m.media-amazon.com/images/I/71ypM6wlsGL.jpg;https://m.media-amazon.com/images/I/71I3kv6O+4L.jpg,Andis - UltraEdge steel blade,100,27.13,27.13,29.23,7 %,13,6081,19 %,125,Pet Supplies,pet_products_display_on_website,# 3 | Top 0.09% | Dog Grooming Clipper Replacement Blades,4922,0 %,,4.2,7692,-11 %,494,2026/03/19 15:14,3,1 %,BritUS Distributors. (100%) / A18M6OA0FEDLAA,,30.00,60 %,60 %,7,0.99,7,yes,no,yes,yes,29.21,7 %,1000,0 %,27.13,29.19,7 %,0 %,27.13,29.20,7 %,23,2.07,15 %,4.07,29.60,29.72,0 %,625,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,30.00,30.00,0 %,28.45,29.04,2 %,33.82,33.82,0 %,13,9,,,2012/11/23,2010/08/16,Andis-Ultraedge-Number-30-Blade,Pet Supplies,"Replacement Blades, Up To 20% Off Selected Andis Clippers & Accessories",Pet Supplies › Dogs › Grooming › Electric Clippers & Blades › Replacement Blades,Pet Products,040102640759,0040102640759,00040102640759,64075,B0FD2Z8T15,,HAIR_TRIMMER,Andis,Andis,,,64075,Size: 30-inch;,Chrome,30-inch,1,count,fresh,,,"30: 1/50"" (0.5 mm)",Carbon Steel,,,Trimming,"average,small,large",,,,,,Target,1,,,,English,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/71SYfpcyaPL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/b99c580e-2fe1-49c3-8cc6-682f3e518858/default.vertical.jobtemplate.hls.m3u8""}]",,yes,148,73,1,375,65,Replacement Blade,,,,,no,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK
B0CVKZMCD6,co.uk,https://m.media-amazon.com/images/I/41YHku1BAoL.jpg;https://m.media-amazon.com/images/I/61gJZD41crL.jpg;https://m.media-amazon.com/images/I/41YHku1BAoL.jpg;https://m.media-amazon.com/images/I/61RRQCVRzDL.jpg,"K9 Choice Melatonin for Dogs 3 mg Chewable Peanut Butter Flavor 120 Pcs, Specially Formulated for Dogs (most dogs will eat tablets like a treat) Food Supplements",200,22.52,,29.69,24 %,3,7432,32 %,144,Pet Supplies,pet_products_display_on_website,# 123 | Top 1.81% | Supplements & Vitamins for Dogs,5080,-47 %,,4.2,151,-5 %,-,2026/03/13 20:40,15,11 %,Buy&Byee (100%) / A3TBXS001AGN1E,,29.99,0 %,68 %,4,2.71,68,yes,no,yes,no,,,,100 %,22.52,29.37,23 %,12 %,22.52,29.28,23 %,187,2.94,15.01 %,3.38,,,,,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,2024/02/14,2024/02/13,K9-Choice-Melatonin-Formulated-Supplements,Pet Supplies,"Supplements & Vitamins, Everyday Essentials: Pets, Pet Health Supplies",Pet Supplies › Dogs › Health Supplies › Supplements & Vitamins,Pet Products,,,,,,"B00GTR1NXG,B01JB9AMUI",ANIMAL_NUTRITIONAL_SUPPLEMENT,SNN GLOBAL,,,,,,,,120,count,,Chewable,,,,,,,,,,,,,,,,,,,0,no,,,no,289,50,,,,,,Melatonin 3 mg,,,no,no,,no,no,no,no,no,,,-,,,,
B08JYZ6GG2,co.uk,https://m.media-amazon.com/images/I/51ogHPAnzAS.jpg;https://m.media-amazon.com/images/I/6174f0lXupL.jpg;https://m.media-amazon.com/images/I/81CoHGotelL.jpg;https://m.media-amazon.com/images/I/81IE6xEHwOL.jpg;https://m.media-amazon.com/images/I/81qNsqKBsHL.jpg;https://m.media-amazon.com/images/I/81UiofL+CHL.jpg;https://m.media-amazon.com/images/I/61FUh0EzeOL.jpg;https://m.media-amazon.com/images/I/61gQTUFDnwL.jpg;https://m.media-amazon.com/images/I/71VtF5ofVrL.jpg;https://m.media-amazon.com/images/I/31QMpmU9KjL.jpg,Pestbye® Ultrasonic Smart Link Cat Repellent System - Battery Powered Motion Activated & Waterproof - The Ultimate in Cat Repellers with Ground Stake - Set of 2,50,39.98,39.98,39.54,-1 %,2,12496,59 %,75,Pet Supplies,pet_products_display_on_website,# 1 | Top 0.42% | Sonic Cat Repellents,5103,-16 %,,3.6,947,,199,2026/03/19 16:00,110,0 %,Primrose (91%) / A3OD8GSLHS0VRE,,-,0 %,100 %,1,1.57,53,yes,no,yes,no,39.98,0 %,,99 %,39.98,39.54,-1 %,0 %,,39.54,,110,3.15,15.01 %,6.00,,,,,,,,,,35.11,,Primrose (91%) / A3OD8GSLHS0VRE,no,Used - Like New,,35.31,,63 %,,35.11,,,,,,,,,,,,34.40,,39.98,39.98,0 %,,,,,,,2,1,,1,2020/09/24,,Pestbye®-Repellent-Operated-Activated-Waterproof,Pet Supplies,Sonic Repellents,Pet Supplies › Cats › Educational Repellents › Sonic Repellents,Lawn & Patio,,5056228343608,,PB0047BX2,B096Y78JFP,,PEST_CONTROL_DEVICE,Primrose,Pestbye,Pestbye,Pestbye,PB0047BX2,Size: 2;,Green,2,2,count,,,,Garden,Plastic,,,,,,,,,,,1,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/51aQeCY2YUL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/4735336c-3c38-4905-bc21-9ac1afce0966/default.jobtemplate.hls.m3u8""}]",,yes,5359,1010,1,2100,700,,,,,,yes,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK; LOW SELLER CHECK
B006ZN21SU,co.uk,https://m.media-amazon.com/images/I/61fQb1lzFfL.jpg;https://m.media-amazon.com/images/I/61M834vzkHL.jpg;https://m.media-amazon.com/images/I/61i9wmuiR7L.jpg;https://m.media-amazon.com/images/I/71qE7cNdiuL.jpg;https://m.media-amazon.com/images/I/715qwipVvOL.jpg;https://m.media-amazon.com/images/I/61rNn3VGKKL.jpg;https://m.media-amazon.com/images/I/61Pa-WKIlnL.jpg,Vetoquinol Ipakitine Phosphate Reducer Aiding Kidney Function (Size: 180g Pot),100,36.49,,36.09,-1 %,10,6962,26 %,157,Pet Supplies,pet_products_display_on_website,# 14 | Top 0.89% | Dog Multivitamins,5119,23 %,,4.7,504,-1 %,-,2026/03/19 20:38,718,2 %,Pet Drugs Online (96%) / A32HMNP2U03655,GB,58.00,0 %,79 %,9,0.95,47,no,no,yes,no,,,,100 %,36.47,35.91,-2 %,0 %,39.34,39.18,0 %,7,3.00,14.99 %,5.47,36.47,35.92,-2 %,1020,,,,,,,,,no,,39.99,39.99,0 %,51 %,,,,,,,,,,,,,,,,58.00,58.00,0 %,,,,,,,11,9,1,1,2013/07/09,2012/05/29,Ipakitine-Phosphate-Reducer-Aiding-Function,Pet Supplies,"Multivitamins, Everyday Essentials: Pets, node 2, Pet Health Supplies, Pet Food & Nutrition, Pets All",Pet Supplies › Dogs › Health Supplies › Supplements & Vitamins › Multivitamins,Pet Products,,"3605874173699, 3605874173712","03605874173699, 03605874173712",3605874173712,,,ANIMAL_NUTRITIONAL_SUPPLEMENT,Vetoquinol,Ipakitine,,,3605874173712,,,180 g (Pack of 1),,,,Powder,,,,,,,,,,,,,,,,,,,0,no,,,no,404,220,1,295,180,,,,,,no,no,,no,no,no,no,no,,,-,,,,
B001A2X7WU,co.uk,https://m.media-amazon.com/images/I/61Mepn0U51L.jpg;https://m.media-amazon.com/images/I/61NmFNy3fiL.jpg;https://m.media-amazon.com/images/I/71EzFI5PA0L.jpg;https://m.media-amazon.com/images/I/21L+GwK4BkL.jpg,VetPlus Coatex - medical shampoo for dogs,100,28.99,,29.19,1 %,11,6441,37 %,187,Pet Supplies,pet_products_display_on_website,# 46 | Top 0.7% | Shampoos for Dogs,4069,24 %,,4.5,558,-1 %,-,2026/03/19 07:52,551,10 %,Pet Drugs Online (96%) / A32HMNP2U03655,GB,-,0 %,70 %,5,0.97,16,no,no,no,yes,,,,100 %,28.99,28.46,-2 %,0 %,29.89,30.00,0 %,23,3.04,15.01 %,4.35,28.99,28.68,-1 %,1952,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,26.00,26.00,0 %,,,,,,,11,10,,,2015/02/18,2008/05/22,VetPlus-Coatex-Shampoo-Treatment-500-ml,Pet Supplies,"Shampoos, Everyday Essentials: Pets, node 2, Pet Grooming, Pets All",Pet Supplies › Dogs › Grooming › Shampoos & Conditioners › Shampoos,Pet Products,,5031812509202,05031812509202,5031812509202,,,ANIMAL_FUR_CLEANER_CONDITIONER,Vetplus,VetPlus,,,5031812509202,,Multicolored,500 ml (Pack of 1),500,millilitre,Unscented,Liquid,,,,,,"Reduce Dandruff,Cleansing",Other,Treats and prevents dandruff skin infections,,,,,,1,,,,Spanish,0,no,,,no,1411,570,1,568,530,VetPlus Coatex - medical shampoo for dogs 500 ML,,,"pH neutral, soap free formulation",,no,no,,no,no,no,no,no,,,-,,,,
B0F7Y8QJKZ,co.uk,https://m.media-amazon.com/images/I/91Sd-Lw33iL.jpg,"Ultimate Cat Proof Fence Anti-Climb Barrier – Secure Outdoor Catio Enclosure Kit, Weatherproof Garden Mesh Fencing for Cat Safety & Protection (10 M)",50,57.99,,58.34,1 %,2,18416,71 %,57,Pet Supplies,pet_products_display_on_website,# 13 | Top 0.02% | Cat Doors & Enclosures,5260,-127 %,,4.4,23,,2,2026/03/19 10:32,131,0 %,INTIGNIS DESIGNS (99%) / A3YBF8HYR4MH7,,59.99,0 %,100 %,1,0.76,8,yes,no,yes,no,,,,100 %,57.99,58.32,1 %,0 %,,58.61,,1,5.25,15 %,8.70,,58.34,,131,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,59.99,59.99,0 %,,,,,,,2,1,,,2025/05/09,2025/05/08,Ultimate-Proof-Fence-Anti-Climb-Barrier,Pet Supplies,Cat Flaps & Enclosures,Pet Supplies › Cats › Cat Flaps & Enclosures,Home,,5060875607846,,,B0F7Y6QKL7,B0F445P45D,TEMPORARY_GATE,INTIGNIS Designs LTD,50CT,,,CAT Fencing,Size: 10 M;,Black,10 M,1,square meter,,,,,Metal,,,,,,,,,,,1,,,,,0,no,,,yes,31240,2740,,,2740,,,,,,no,no,,no,no,no,no,no,,,-,,,,LOW SELLER CHECK
B0F7XLZVNF,co.uk,https://m.media-amazon.com/images/I/81zR5lSE0kL.jpg;https://m.media-amazon.com/images/I/71RuPry+OCL.jpg;https://m.media-amazon.com/images/I/81p400dqJCL.jpg;https://m.media-amazon.com/images/I/81K4csngXSL.jpg;https://m.media-amazon.com/images/I/71QL55DWGEL.jpg;https://m.media-amazon.com/images/I/716acEEZIIL.jpg;https://m.media-amazon.com/images/I/71AQyn6+cUL.jpg;https://m.media-amazon.com/images/I/71sK3dszPPL.jpg;https://m.media-amazon.com/images/I/7145ex8HP-L.jpg,"pecute Cat Backpack Large Space, Cat Carrier Backpack Breathable, Stable Bubble Pet Carrier, Pet Backpack With Sun Protection Roller Blinds, Dog Backpack for Hiking, Walking, Travelling, Green",50,49.99,,46.78,-7 %,2,6891,13 %,137,Pet Supplies,pet_products_display_on_website,# 7 | Top 0.01% | Dog Carrier Backpacks,6008,-2 %,,4.7,731,,79,2026/03/17 19:00,88,2 %,Nirong (99%) / AIAZO67H1JXH7,,-,0 %,99 %,1,4.54,80,yes,no,yes,no,,,,100 %,49.99,46.46,-8 %,0 %,,45.96,,88,3.34,14.99 %,7.49,,,,,,,,,,,,,no,,,34.84,,56 %,,,,,35.88,,,,,,,,,35.87,,49.99,49.99,0 %,,,,,,,2,1,,1,2025/06/25,2025/05/08,pecute-Backpack-Breathable-Protection-Travelling,Pet Supplies,"Backpacks, node 2, Pets All",Pet Supplies › Dogs › Carriers & Travel Products › Backpacks,Pet Products,,,,PB-SCB01,B0FF4XQZ1B,,ANIMAL_CARRIER,pecute,pecute,pecute,pecute,PB-SCB01,Color: Green Olive; PatternName: Classic L;,Green Olive,Medium,1,count,,,Classic L,Modern,"Plastic, Fabric",,Cats,"Travel (air, road), Hiking, Camping, Visits to the vet, Everyday use","Cat backpack,Pet backpack,Dog backpack",,,,,,,,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/51LfD0C312L.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/a5e3c7b0-caf3-41c4-a940-8bf9ab659f68/default.jobtemplate.hls.m3u8""}]",,yes,13553,1438,1,34944,,"Pet Backpack x 1, Safety Rope x 1, 2 Sided Cushion x 1",,,,,no,no,,no,no,no,no,no,,,-,,,,LOW SELLER CHECK
B07NY8QWCG,co.uk,https://m.media-amazon.com/images/I/71fgH-waElL.jpg,Snappies Tidy-Up Doggie Doo Bags with Tie Handles 20 Packs with 20 bags per pack,200,22.99,,23.61,3 %,6,5928,-4 %,161,Pet Supplies,pet_products_display_on_website,# 98 | Top 0.35% | Dog Waste Bags,6139,-10 %,,4.6,363,-2 %,-,2026/03/19 21:24,65,17 %,IJ Retail (88%) / A3IMHUBNG8ODI8,GB,26.00,0 %,66 %,4,0.42,8,no,no,yes,no,,,,100 %,22.99,23.45,2 %,0 %,24.20,24.32,0 %,269,3.25,14.98 %,3.44,22.99,23.42,2 %,3,,,,,,,,,no,,,20.54,,66 %,,20.57,,,,,,,,,,,,20.56,,26.00,26.00,0 %,,,,,,,6,5,,2,2019/03/24,2022/03/02,Snappies-Tidy-Up-Doggie-Handles-Packs,Pet Supplies,Bags,Pet Supplies › Dogs › Litter & Housetraining › Pooper Scoopers & Bags › Bags,Pet Products,721865066313,0721865066313,05011558007637,GPS034688.2,,"B00BEXP5MA,B07Z2BSHF9",WASTE_BAG,,Snappies,,,GPS034688.2,,Maroon,1 count (Pack of 20),20,count,,Bag,,,Plastic,,,Animal Waste,,,,,,,,20,,,,,0,no,,,no,4491,1750,1,194,40,,,,,,no,no,,no,no,no,no,no,,,-,,,,
B0CRDX4NR2,co.uk,https://m.media-amazon.com/images/I/71lt6vmxBCL.jpg;https://m.media-amazon.com/images/I/61vXdnnixVL.jpg;https://m.media-amazon.com/images/I/813h-ORjPmL.jpg;https://m.media-amazon.com/images/I/61kvYgllCZL.jpg;https://m.media-amazon.com/images/I/71bn2EDAoHL.jpg;https://m.media-amazon.com/images/I/61E5BB-uDJL.jpg;https://m.media-amazon.com/images/I/717LpyxHlfL.jpg;https://m.media-amazon.com/images/I/81nlsotGhZL.jpg,"Cat Mate C500 5 Bowl Digital Timer-Controlled Automatic Pet Feeder - For Cats and Small Dogs, Wet or Dry Food, Includes Twin Ice Packs, 5 Meals Up To 330 g Each, Grey",200,39.99,39.99,39.73,-1 %,3,7654,31 %,115,Pet Supplies,pet_products_display_on_website,# 15 | Top 0.06% | Automatic Feeders for Cats,5315,-85 %,,4.5,88,,42,2026/03/18 21:38,1000,1 %,Amazon,,-,63 %,63 %,2,1.23,46,yes,no,yes,no,39.99,0 %,1000,33 %,39.99,39.73,-1 %,0 %,,39.72,,160,3.35,15 %,6.00,,50.84,,,,,,,,,,,no,,32.35,30.42,-6 %,71 %,,,,,,,,31.84,,,29.88,,,29.88,,39.99,39.99,0 %,,,,,,,5,2,2,2,2024/01/11,2024/01/11,Closer-Automatic-Feeder-Digital-Timer,Pet Supplies,Automatic Feeders,Pet Supplies › Cats › Feeding & Watering Supplies › Automatic Feeders,Pet Products,035368902567,0035368902567,00035368902567,1,B0FH4LRV86,,PET_FEEDER,Pet Mate Ltd,Closer Pets,Closer Pets,CloserPets,365G,Size: C500 Feeder Grey;,C500 Feeder Grey,C500 Feeder Grey,1,count,,,,Modern,Plastic,,Cats,Indoor,"Indoor,Weight,Stomach",,,,,,Target,,,,,,0,no,,,yes,8492,1360,1,8580,1200,"Feeder, Manual",,,,,yes,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK
