supplier,ean,asin,product_name,match_type,buy_cost,market_price,fees_current,fees_conservative,profit_current,profit_conservative,margin_current,margin_conservative,sales_estimate,decision,decision_reason,risk_flags
Aurora,5034566616509,B0F8C2J5XL,"AURORA, 61650, The Scarecrows' Wedding Harry O'Hay 11In, Soft Toy, Red & Blue",UNIT,12.6,18.9,5.49067,5.49067,0.8093299999999992,0.8093299999999992,0.042821693121693,0.042821693121693,100.0,REJECT,"Unprofitable — current £0.81, conservative £0.81 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005556207428,B08S78PQ71,Ravensburger Paw Patrol Toys - Mini Memory Game - Matching Picture Snap Pairs Game For Kids Age 3 Years and Up,UNIT,3.54,7.95,3.610115,3.610115,0.7998850000000006,0.7998850000000006,0.1006144654088051,0.1006144654088051,500.0,REJECT,"Unprofitable — current £0.80, conservative £0.80 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555004639,B0CPFJ2JCG,Ravensburger Harry Potter 1000 Piece Jigsaw Puzzle for Adults and Kids Age 12 Years Up,UNIT,9.54,15.99,5.656901,5.656901,0.7930990000000016,0.7930990000000016,0.0495996873045654,0.0495996873045654,,REJECT,"Unprofitable — current £0.79, conservative £0.79 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555012665,B0D4QYNLKY,Ravensburger Paddington in Peru - 1000 Piece Jigsaw Puzzles for Adults and Kids Age 12 Years +,UNIT,9.54,15.99,5.660099000000001,5.660099000000001,0.7899010000000004,0.7899010000000004,0.0493996873045653,0.0493996873045653,,REJECT,"Unprofitable — current £0.79, conservative £0.79 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555012771,B0CW1NRHDM,"Ravensburger 12001277 - Wicked Act 1-1000 pieces jigsaw puzzle – Puzzle for adults and kids age 14 years up, jigsaw for Wicked fans",UNIT,9.54,15.99,5.660099000000001,5.660099000000001,0.7899010000000004,0.7899010000000004,0.0493996873045653,0.0493996873045653,,REJECT,"Unprofitable — current £0.79, conservative £0.79 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555005278,B0CPFKFLDL,Ravensburger Disney Pixar Toy Store 1000 Piece Jigsaw Puzzle for Adults & Kids Age 12 Years Up,UNIT,9.54,15.99,5.660099000000001,5.660099000000001,0.7899010000000004,0.7899010000000004,0.0493996873045653,0.0493996873045653,100.0,REJECT,"Unprofitable — current £0.79, conservative £0.79 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555014973,B0DSZYFQS4,Ravensburger Bridgerton 1000 piece Jigsaw Puzzle for Adults and Kids Age 12 Years Up,UNIT,9.54,15.99,5.660099000000001,5.660099000000001,0.7899010000000004,0.7899010000000004,0.0493996873045653,0.0493996873045653,100.0,REJECT,"Unprofitable — current £0.79, conservative £0.79 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566318588,B0B7SCQCXW,"Aurora, 31858, Mini Flopsie Beeswax Bee, 8In, Eco-friendly soft toy, Black & Yellow",UNIT,5.04,9.99,4.170498,4.170498,0.7795019999999999,0.7795019999999999,0.0780282282282282,0.0780282282282282,,REJECT,"Unprofitable — current £0.78, conservative £0.78 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566127494,B004T1M3CE,"Aurora 8-inch Flopsie Esmeralda Cat, Brown, Black, White",UNIT,5.04,9.99,4.170498,4.170498,0.7795019999999999,0.7795019999999999,0.0780282282282282,0.0780282282282282,,REJECT,"Unprofitable — current £0.78, conservative £0.78 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566615670,B0CLS1R9XX,"Aurora, 61567, Palm Pals Bertie Red Bus, 5I, Soft Toy, Red and Black",UNIT,5.04,9.99,4.170498,4.170498,0.7795019999999999,0.7795019999999999,0.0780282282282282,0.0780282282282282,,REJECT,"Unprofitable — current £0.78, conservative £0.78 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
