ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B00VV8XSF4,"Veloxa XL Chewable Dog Wormer, 4 Tablets",Veloxa,Pet Supplies,BRAND APPROACH,8.0,GBP23.89,GBP0.00,25.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DSVBK5D2,Flexible Rubber Skip Feed Bucket Feeder Trough with Integrated Handles - 11L - Black (Pack of 2 Skip Feeds),KetoPlastics,Pet Supplies,MAYBE,8.2,GBP21.99,GBP0.00,24.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07XZJBC5K,RSPCA Wee Away Pet Friendly Stain and Odour remover 2 x 5L bottles,RSPCA,Pet Supplies,YES,8.5,GBP28.99,GBP0.00,26.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DV5P1GJ1,"Eden Fish Cuisine 2kg Medium Kibble. Premium Dry Dog Food for Adult & Senior Dogs - Salmon, Herring, Trout, White Fish, Green-lipped mussel & Spirulina, perfect for dogs with sensitive stomachs.",Eden Holistic Pet Foods,Pet Supplies,YES,8.8,GBP25.99,GBP0.00,25.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CP9JHRS2,"Loveblanket - The Waterproof Blanket, Love Blanket Waterproof for Couples, Multifunctional Waterproof Pet Blanket for Dog Cat, Protects Sofa Mattress and Furniture (Brown,57 in x 65 in)",FETNHU,Pet Supplies,MAYBE,8.2,GBP36.00,GBP0.00,26.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B08WJFDCYF,Bamfords Top Flight Standard Parrot Food 12.5kg,Bamfords Top Flight,Pet Supplies,YES,8.5,GBP27.99,GBP0.00,26.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B002CNTM8O,"Andis Number Ceramic Blade, 5 FC",Andis,Pet Supplies,MAYBE,8.0,GBP35.10,GBP1.89,18.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CG9XCRYN,equilibrium Simply Irresistible - horse supplement & treet,equilibrium,Pet Supplies,BRAND APPROACH,8.3,GBP26.43,GBP0.00,25.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00HCN0576,Johnsons Dog Flea Repellant Shampoo 5ltr,,Pet Supplies,BRAND APPROACH,8.2,GBP24.78,GBP0.00,25.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00HCN0576,Johnsons Dog Flea Repellant Shampoo 5ltr,,Pet Supplies,BRAND APPROACH,8.2,GBP24.78,GBP0.00,25.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07F7FTHMP,Marriage's Organic Mixed Corn - 20kg,Marriage's,Pet Supplies,MAYBE,8.1,GBP25.00,GBP0.00,25.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
