ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0CXM4MBCD,2kg Pure Moon Bone (Beef CartIlage) 100% Natural Dog Chews Treats,MALTBYS' STORES 1904 LTD,https://www.amazon.co.uk/dp/B0CXM4MBCD,Pet Supplies,OK,25.99,26.61,2.0%,42822,60209,12,0,2,0,N,3.09,4.76,7.85,16.89,1.24,7.4%,15.11,24.75,0%,Maltbys Stores (96%) / A2UNARK72ZQK2,no,5.0,2,9,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5056473440374,,
B07NC2J2NJ,Shires Tempest Original Fleece Rug - Navy Blue 5ft9,Shires,https://www.amazon.co.uk/dp/B07NC2J2NJ,Pet Supplies,OK,32.99,34.15,3.0%,44586,53124,13,0,5,0,N,3.17,5.84,9.01,21.44,2.53,11.8%,19.98,30.46,0%,Just Horse Riders (95%) / A1WK58OVOUW5JD,no,4.1,14,3,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,5051771615820,,05051771615820
B06Y46N3XV,"Trixie Stay harness, L-XL: 75-100 cm/25 mm, black",TRIXIE,https://www.amazon.co.uk/dp/B06Y46N3XV,Pet Supplies,OK,26.49,26.39,0.0%,42248,59696,15,0,4,0,N,3.00,4.84,7.84,17.22,1.43,8.3%,15.54,25.06,0%,TradeINN (57%) / A1JTB2R3QULPAM,no,4.5,1215,4,N,3,AVERAGE,N,-,MAYBE-ROI,,KEEPA,4047974130940,,04047974130940
B08ZHB722X,2 X 10 LTR PROREP TORTOISE LIFE BIO SUBSTRATE REPTILE SOIL BEDDING VIVARIUM,Pro Life,https://www.amazon.co.uk/dp/B08ZHB722X,Pet Supplies,OK,30.99,29.69,-4.0%,29459,40719,24,0,2,0,N,0.00,5.54,5.54,20.14,5.31,26.4%,21.21,25.68,0%,aquacadabra (93%) / A1PH60OYR84OEQ,no,4.4,19,1,N,3,WEAK,N,-,,LOW SELLER CHECK,KEEPA,5060442446106,,
B0DDZJYY54,"Puppia Soft Dog Harness No Choke Over-The-Head Triple Layered Breathable Mesh Adjustable Chest Belt and Quick-Release Buckle, Violet, Large",Puppia,https://www.amazon.co.uk/dp/B0DDZJYY54,Pet Supplies,OK,21.99,21.99,0.0%,33459,50469,12,0,2,0,N,2.94,4.15,7.09,14.29,0.61,4.3%,12.42,21.38,0%,PetLondon (100%) / A3GA0RKQ149EH5,yes,4.4,921,5,N,4,AVERAGE,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,8809981635421,,
B002TWJUUI,"Easy Life Easy Carbo, 5 Litre",EASY LIFE,https://www.amazon.co.uk/dp/B002TWJUUI,Pet Supplies,HEAVY,68.99,69.81,1.0%,57119,64902,10,0,4,0,N,3.56,11.40,14.96,44.84,9.19,20.5%,45.03,59.80,0%,aquacadabra (93%) / A1PH60OYR84OEQ,no,4.6,3509,1,N,3,WEAK,N,-,,,KEEPA,8715837000858,,08715837000858
B01N9TQKSN,"AntHouse - Natural Sand Ant Hill | Acrylic T BIG Kit 25x20x1,5 cm | Ant Farm",AntHouse,https://www.amazon.co.uk/dp/B01N9TQKSN,Pet Supplies,OK,69.99,69.99,0.0%,29479,34798,44,0,3,0,N,0.00,11.56,11.56,45.49,12.94,28.4%,48.69,57.05,0%,AntHouse (60%) / A3H3Z3HUCD58FX,no,4.5,254,7,Y,5,STRONG,Y,-,,,KEEPA,"3336600097353, 4013307512028, 8435151224449, 8437002399245",,
B09NC1777B,"PetDreamHouse Paw 2-In-1 Mini Slow Feeder Dog Bowl & Lick Mat, Fun and Unique Paw-Shaped Slow Feeding Dish with an Interchangeable Paw Lick Pad-Baby Pink",PetDreamHouse,https://www.amazon.co.uk/dp/B09NC1777B,Pet Supplies,OK,13.94,23.24,40.0%,43274,25154,15,0,2,0,N,2.72,2.90,5.62,9.06,-0.74,-8.2%,6.93,14.68,0%,PetDreamHouse (100%) / A29FC875HSZA9L,no,4.4,1343,7,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK; PRICE DRIFT,KEEPA,5060636430942,,
B01G9USQIW,"CEVA Adaptil Calm - Anti-Stress For Dogs - Fears, Loud Noises, Learning, Adoption - Collar M/L For Medium And Large Dogs",ADAPTIL,https://www.amazon.co.uk/dp/B01G9USQIW,Pet Supplies,OK,25.99,25.36,-2.0%,29520,42266,26,0,6,0,Y,2.72,4.76,7.48,16.89,1.61,9.5%,15.42,24.38,69%,Amazon,yes,3.4,391,9,N,4,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,3411112116676,,03411112116676
B0BHZ2FN27,Eukanuba Grain Free Complete Dry Dog Food for Senior Small and Medium Breeds with Ocean Fish 12 kg,Eukanuba,https://www.amazon.co.uk/dp/B0BHZ2FN27,Pet Supplies,HEAVY,55.49,52.91,-5.0%,31394,14173,77,0,2,0,N,6.15,9.31,15.46,36.07,3.96,11.0%,33.35,51.53,0%,Delara Trading (59%) / APU7DWP4HPHZ9,no,4.6,157,7,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,8710255188980,,08710255188980
