ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0DPJK3PRF,Stonemaier Games | Finspan | Board Game | Ages 10+ | 1-5 Players | 45-60 Minutes Playing Time,Stonemaier Games,https://www.amazon.co.uk/dp/B0DPJK3PRF,Toys & Games,,37.30,37.91,2.0%,22653,16433,85,100,7,0,Y,3.49,6.51,10.00,24.24,3.05,12.6%,22.75,34.25,96%,Amazon,yes,4.8,162,9,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0850032180931,850032180931,00850032180931
B0D1GF4VXX,"Jelly Blox Vehicle Kit - Includes 35 Blocks - Toddler & Preschool Building Blocks Kids Can Squeeze, Stretch, Squish - Safety Tested & Ouch-Free - Tactile, Sensory Play Toy for Ages 2 Plus",Goliath,https://www.amazon.co.uk/dp/B0D1GF4VXX,Toys & Games,,29.27,31.23,6.0%,23382,10198,132,100,14,0,Y,3.48,5.27,8.75,19.03,1.50,7.9%,17.10,27.77,78%,Amazon,yes,4.6,215,9,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,8720077316942,,08720077316942
B0DT44NLVM,"Magnetopia Magnetic Blocks - 150PCS Magnetic Building Blocks Cubes Adventurer, Magnet Toys for Kids Stacking Construction Birthday Gifts for Boys Girls Age 4-8, 8-12",Magnetopia,https://www.amazon.co.uk/dp/B0DT44NLVM,Toys & Games,,24.99,26.68,6.0%,23638,11195,94,100,3,0,N,2.72,3.64,6.36,16.24,2.39,14.7%,15.52,22.60,0%,WITCH FEVER LTD (100%) / A3JG7TWWN2REQ7,yes,4.8,35,6,Y,5,STRONG,N,-,MAYBE-ROI,,KEEPA,0702291184956,702291184956,
B07F454YF3,"Leder Games, Root: A Game of Woodland Might and Right, Board Game, Ages 10plus, 2 - 4 Players, 60 - 90 Minute Playing Time",Leder Games,https://www.amazon.co.uk/dp/B07F454YF3,Toys & Games,,51.70,42.91,-20.0%,25306,7904,101,100,11,0,Y,3.27,8.74,12.01,33.61,6.09,18.1%,33.08,45.61,85%,CHAOS CARDS (100%) / A3UMBU4T3BL276,no,4.6,2106,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,0602573655900,602573655900,00602573655900
B0DDYZX1TB,Pokémon TCG: Scarlet & Violet - Surging Sparks Booster Bundle,Pokémon,https://www.amazon.co.uk/dp/B0DDYZX1TB,Toys & Games,,63.99,65.28,2.0%,26049,27412,73,100,15,0,N,2.72,10.63,13.35,41.59,9.05,21.8%,42.20,54.94,0%,AOT Group Products (0%) / AHCRKKIQAHWP3,yes,4.2,918,6,N,4,AVERAGE,N,-,,,KEEPA,0820650859915,820650859915,
B0FT73SNK1,"TYCOLE Flowers Bouquet Building Set - Purple Roses Botanical Collection Building Blocks for Adult Women, Artificial Flowers Gothic Home Decor Christmas Birthday Gift for Adults Kids Girls 6-12",TYCOLE,https://www.amazon.co.uk/dp/B0FT73SNK1,Toys & Games,,25.99,29.92,13.0%,26750,32485,63,100,2,0,N,3.04,4.76,7.80,16.89,1.29,7.6%,15.15,24.70,0%,TaiGaoLe Toys (82%) / A2N79BL4BF4OIJ,yes,4.4,32,7,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,
B0F2YZJQHL,"TYCOLE Vintage Pendulum Clock Building Block Set, Stem Toy with Real Clock Function and Linkable Mechanical Pendulum, Unique Home Decoration and Collectible for Adults&Kids 6+",TYCOLE,https://www.amazon.co.uk/dp/B0F2YZJQHL,Toys & Games,,29.99,33.57,11.0%,27724,11725,64,100,2,0,N,3.05,5.38,8.43,19.49,2.06,10.6%,17.96,27.93,0%,TaiGaoLe Toys (82%) / A2N79BL4BF4OIJ,yes,4.2,185,7,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,
B0CGS363W3,"Magna-Tiles Downhill Duo 40-Piece Set, Black",Magna-Tiles,https://www.amazon.co.uk/dp/B0CGS363W3,Toys & Games,,69.99,74.38,6.0%,28689,43238,72,100,7,0,Y,3.48,11.55,15.03,45.49,9.46,20.8%,45.80,60.53,37%,Amazon,yes,4.7,894,7,N,4,AVERAGE,N,-,,AMAZON CHECK,KEEPA,"0008500251762, 0850025176231","008500251762, 850025176231",00850025176231
B0BV2HWGPB,"Hornby R7322 HM7000-21TXS: Bluetooth® & DCC Sound Decoder (21-pin) - Hornby Accessories for 00 Gauge Track & Train Sets - Compatible with Select Hornby Model Trains, White",Hornby,https://www.amazon.co.uk/dp/B0BV2HWGPB,Toys & Games,,62.99,60.12,-5.0%,28714,19169,97,100,6,0,Y,2.08,10.47,12.55,40.94,9.49,23.2%,42.03,53.50,68%,Jadlam Toys & Models (91%) / A1B1VEBCSCJ,no,4.5,102,7,Y,5,STRONG,N,-,,AMAZON CHECK,KEEPA,5055286692802,,
B0DKLBHSR4,"Star Wars The Vintage Collection Landspeeder & Luke Skywalker, Star Wars: A New Hope 9.5-cm Action Figure & Vehicle",Star Wars,https://www.amazon.co.uk/dp/B0DKLBHSR4,Toys & Games,,53.99,48.86,-10.0%,30241,24858,93,100,9,0,Y,3.05,9.08,12.13,35.09,6.76,19.3%,34.88,47.23,96%,Amazon,yes,4.7,149,11,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,5010996307705,,
B0DJPHJ7GD,Ravensburger Disney Lorcana Trading Card Game for Adults and Kids Age 8 Years Up - Illumineer's Trove - Set 6: Azurite Sea - Collectable TCG,Ravensburger,https://www.amazon.co.uk/dp/B0DJPHJ7GD,Toys & Games,,42.65,35.59,-20.0%,31080,11865,104,100,12,0,Y,3.04,7.34,10.38,27.72,4.55,16.4%,26.89,38.10,79%,Mad-4-Toys Ltd (85%) / A2F06GBNBBVT5Q,no,4.7,230,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,4050368984326,,
B0DX7FJ2D5,"The House of Puzzles Tales From The Tavern Jigsaw Set - 4 x 500 Piece Jigsaws For Adults, Multi Puzzle Pack, Artist Illustrated, Deluxe Puzzle Gifts, Sustainably Made",The House of Puzzles,https://www.amazon.co.uk/dp/B0DX7FJ2D5,Toys & Games,,26.99,25.52,-6.0%,22265,94072,32,100,2,0,N,3.48,4.92,8.40,17.54,1.05,6.0%,15.49,25.94,0%,Bigjigs Toys (89%) / A2F7H5XWMN77FR,no,5.0,34,8,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5060002007716,,
B0DN6S7FNT,"Marvel Legends Series X-Men Deathbird & Marvel’s Gladiator Action Figure Two-Pack, Purple",Marvel,https://www.amazon.co.uk/dp/B0DN6S7FNT,Toys & Games,,42.49,47.38,10.0%,32813,91993,39,100,6,0,Y,3.04,7.30,10.34,27.62,4.53,16.4%,26.79,37.96,39%,Amazon,yes,4.8,154,8,N,4,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,5010996282866,,
